DRUG_NAME,MURCKO_SCAFFOLD,IN_DRUGCOMB,IN_GDSC,IN_BOTH
CLOZAPINE,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,True,False,False
NORTRIPTYLINE,C=C1c2ccccc2CCc2ccccc21,False,False,False
SULFAMETHAZINE,O=S(=O)(Nc1ncccn1)c1ccccc1,True,False,False
SECOBARBITAL,O=C1CC(=O)NC(=O)N1,False,False,False
PENTOBARBITAL,O=C1CC(=O)NC(=O)N1,False,False,False
QUINACRINE,c1ccc2nc3ccccc3cc2c1,True,False,False
AMOBARBITAL,O=C1CC(=O)NC(=O)N1,False,False,False
HEXOBARBITAL,O=C1NC(=O)C(C2=CCCCC2)C(=O)N1,False,False,False
BUTABARBITAL,O=C1CC(=O)NC(=O)N1,False,False,False
APROBARBITAL,O=C1CC(=O)NC(=O)N1,False,False,False
METHARBITAL,O=C1CC(=O)NC(=O)N1,False,False,False
CHLORDIAZEPOXIDE,C1=Nc2ccccc2C(c2ccccc2)=[NH+]C1,False,False,False
MELAGATRAN,O=C(NCc1ccccc1)[C@@H]1CCN1C(=O)CC1CCCCC1,False,False,False
CLONAZEPAM,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,False,False
SULFISOXAZOLE,O=S(=O)(Nc1ccno1)c1ccccc1,True,False,False
SULFAMETHOXYPYRIDAZINE,O=S(=O)(Nc1cccnn1)c1ccccc1,True,False,False
BUTALBITAL,O=C1CC(=O)NC(=O)N1,False,False,False
SULFACETAMIDE,c1ccccc1,False,False,False
AMSACRINE,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,True,False,False
ETHACRYNIC ACID,c1ccccc1,False,False,False
TICRYNAFEN,O=C(c1ccccc1)c1cccs1,False,False,False
GEMFIBROZIL,c1ccccc1,True,False,False
MELATONIN,c1ccc2[nH]ccc2c1,True,False,False
ONDANSETRON,O=C1c2c([nH]c3ccccc23)CCC1Cn1ccnc1,True,False,False
BUSPIRONE,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,True,False,False
METHYLDOPA,c1ccccc1,True,False,False
MOLINDONE,O=C1c2cc[nH]c2CCC1CN1CCOCC1,False,False,False
APOMORPHINE,c1ccc2c(c1)C[C@H]1NCCc3cccc-2c31,False,False,False
HALOPERIDOL,O=C(CCCN1CCC(c2ccccc2)CC1)c1ccccc1,True,False,False
PENTAMIDINE,c1ccc(OCCCCCOc2ccccc2)cc1,True,False,False
AMINOHIPPURIC ACID,c1ccccc1,False,False,False
ETRETINATE,c1ccccc1,False,False,False
NEVIRAPINE,O=C1Nc2cccnc2N(C2CC2)c2ncccc21,True,False,False
DRONABINOL,C1=C[C@H]2c3ccccc3OC[C@@H]2CC1,False,False,False
MITOXANTRONE,O=C1c2ccccc2C(=O)c2ccccc21,True,True,True
DOPAMINE,c1ccccc1,True,False,False
HYDROXYUREA,,True,False,False
PODOFILOX,O=C1OC[C@@H]2Cc3cc4c(cc3[C@@H](c3ccccc3)[C@@H]12)OCO4,True,False,False
ISONIAZID,c1ccncc1,True,False,False
THALIDOMIDE,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,True,False,False
KETOROLAC,O=C(c1ccccc1)c1ccc2n1CCC2,True,False,False
SOTALOL,c1ccccc1,True,False,False
GLYBURIDE,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)c2ccccc2)cc1,False,False,False
HEXESTROL,c1ccc(CCc2ccccc2)cc1,True,False,False
DOFETILIDE,c1ccc(CCNCCOc2ccccc2)cc1,True,False,False
DACARBAZINE,c1c[nH]cn1,True,True,True
ADENOSINE,c1ncc2ncn([C@H]3CCCO3)c2n1,True,False,False
THIORIDAZINE,c1ccc2c(c1)Sc1ccccc1N2CCC1CCCCN1,False,False,False
LANSOPRAZOLE,c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1,True,False,False
IRINOTECAN,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc(OC(=O)N4CCC(N5CCCCC5)CC4)ccc2nc1-3,True,True,True
MORPHINE,C1=C[C@H]2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H](C1)O5,False,False,False
CODEINE,C1=C[C@H]2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H](C1)O5,False,False,False
CHLORPROMAZINE,c1ccc2c(c1)Nc1ccccc1S2,False,False,False
DESIPRAMINE,c1ccc2c(c1)CCc1ccccc1N2,False,False,False
AMINOGLUTETHIMIDE,O=C1CCC(c2ccccc2)C(=O)N1,True,False,False
CROMOLYN SODIUM,O=c1ccoc2cccc(OCCCOc3cccc4occc(=O)c34)c12,True,False,False
CHLOROQUINE,c1ccc2ncccc2c1,True,False,False
PAROXETINE,c1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,True,False,False
ETORICOXIB,c1ccc(-c2cccnc2-c2cccnc2)cc1,True,False,False
LIDOCAINE,c1ccccc1,True,False,False
ETIDOCAINE,c1ccccc1,False,False,False
NALOXONE,O=C1CCC2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H]1O5,False,False,False
RALOXIFENE,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12,True,False,False
TAMOXIFEN,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,True,True,True
BROMOCRIPTINE,O=C(NC1OC2[C@@H]3CCCN3C(=O)CN2C1=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2NC1,False,False,False
ILOPROST,C=C1C[C@H]2CCC[C@H]2C1,True,False,False
TOPOTECAN,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,True,True,True
RISPERIDONE,O=c1c(CCN2CCC(c3noc4ccccc34)CC2)cnc2n1CCCC2,True,False,False
CROMOLYN,O=c1ccoc2cccc(OCCCOc3cccc4occc(=O)c34)c12,False,False,False
METOCLOPRAMIDE,c1ccccc1,False,False,False
PACLITAXEL,O=C(C[C@@H](NC(=O)c1ccccc1)c1ccccc1)O[C@@H]1C=C2CC(=O)C3CC[C@H]4OCC4[C@H]3[C@H](OC(=O)c3ccccc3)C(C2)C1,True,True,True
ALPROSTADIL,O=C1CCCC1,True,False,False
HEXACHLOROPHENE,c1ccc(Cc2ccccc2)cc1,False,False,False
CLIOQUINOL,c1ccc2ncccc2c1,False,False,False
AGOMELATINE,c1ccc2ccccc2c1,True,False,False
CYCLOPHOSPHAMIDE ANHYDROUS,O=[PH]1NCCCO1,False,False,False
CHLORPROPAMIDE,c1ccccc1,True,False,False
TIMOLOL,c1nsnc1N1CCOCC1,False,False,False
PINDOLOL,c1ccc2[nH]ccc2c1,False,False,False
HYDRALAZINE,c1ccc2cnncc2c1,True,False,False
AMPHETAMINE SULFATE,c1ccccc1,False,False,False
AMPHOTERICIN B,O=C1CCCCCCCCCCCC2CCC[C@H](C[C@@H](O[C@H]3CCCCO3)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/CCCCO1)O2,True,False,False
HISTAMINE,c1c[nH]cn1,True,False,False
MICONAZOLE,c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,True,False,False
DOCETAXEL ANHYDROUS,O=C(CCc1ccccc1)O[C@@H]1C=C2CC(=O)C3CC[C@H]4OCC4[C@H]3[C@H](OC(=O)c3ccccc3)C(C2)C1,False,False,False
ZILEUTON,c1ccc2sccc2c1,True,False,False
TACRINE,c1ccc2nc3c(cc2c1)CCCC3,True,False,False
DONEPEZIL,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,False,False,False
LOVASTATIN,O=C1CCC[C@@H](CC[C@H]2CC=CC3=CCCC[C@@H]32)O1,True,False,False
OZAGREL,c1ccc(Cn2ccnc2)cc1,True,False,False
ACETANILIDE,c1ccccc1,True,False,False
DIMETHYL SULFOXIDE,,False,False,False
CHLORPHENIRAMINE,c1ccc(Cc2ccccn2)cc1,False,False,False
PRIMAQUINE,c1ccc2ncccc2c1,True,False,False
MECLOFENAMIC ACID,c1ccc(Nc2ccccc2)cc1,True,False,False
PYRILAMINE,c1ccc(CNc2ccccn2)cc1,False,False,False
SERTINDOLE,O=C1NCCN1CCN1CCC(c2cn(-c3ccccc3)c3ccccc23)CC1,False,False,False
CARMUSTINE,,True,True,True
LOMUSTINE,C1CCCCC1,True,False,False
CHLORAMBUCIL,c1ccccc1,True,False,False
CYPROHEPTADINE,C1=Cc2ccccc2C(=C2CCNCC2)c2ccccc21,True,False,False
INAMRINONE,O=c1ccc(-c2ccncc2)c[nH]1,False,False,False
DISOPYRAMIDE,c1ccc(Cc2ccccn2)cc1,True,False,False
VORINOSTAT,c1ccccc1,False,True,False
IBUPROFEN,c1ccccc1,True,False,False
CLOMETACIN,O=C(c1ccccc1)c1c[nH]c2ccccc12,False,False,False
FLUNITRAZEPAM,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,False,False
METHOXAMINE,c1ccccc1,False,False,False
PROPOFOL,c1ccccc1,True,False,False
PIROXICAM,O=C(Nc1ccccn1)C1=Cc2ccccc2S(=O)(=O)N1,True,False,False
CEFTIZOXIME,N=C(C(=O)N[C@@H]1C(=O)N2C=CCS[C@H]12)c1cscn1,False,False,False
PHENYLBUTAZONE,O=C1CC(=O)N(c2ccccc2)N1c1ccccc1,True,False,False
AZITHROMYCIN,O=C1C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCCCNCCCCO1,True,False,False
AMDINOCILLIN,O=C1[C@@H](/N=C/N2CCCCCC2)[C@H]2SCCN12,False,False,False
PERGOLIDE,c1cc2c3c(c[nH]c3c1)C[C@H]1NCCC[C@H]21,False,False,False
ERYTHROMYCIN,O=C1CCCCOC(=O)C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCC1,True,False,False
IBUTILIDE,c1ccccc1,True,False,False
PROGESTERONE,O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,True,False,False
KETOTIFEN,O=C1Cc2ccccc2C(=C2CCNCC2)c2ccsc21,True,False,False
SUNITINIB,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,True,False,False
HYDROQUINONE,c1ccccc1,False,False,False
ACETIC ACID,,False,False,False
PHENOL,c1ccccc1,False,False,False
MEQUINOL,c1ccccc1,False,False,False
CLOTRIMAZOLE,c1ccc(C(c2ccccc2)(c2ccccc2)n2ccnc2)cc1,True,False,False
MITOMYCIN,O=C1C=CC(=O)C2=C1CC1[C@H]3N[C@H]3CN21,False,False,False
ALCOHOL,,False,False,False
OXPRENOLOL,c1ccccc1,False,False,False
FLUCONAZOLE,c1ccc(C(Cn2cncn2)Cn2cncn2)cc1,True,False,False
ISOTRETINOIN,C1=CCCCC1,True,False,False
ILOPERIDONE,c1ccc(OCCCN2CCC(c3noc4ccccc34)CC2)cc1,True,False,False
DINOPROSTONE,O=C1CCCC1,False,False,False
NEOSTIGMINE,c1ccccc1,False,False,False
REBOXETINE,c1ccc(OC(c2ccccc2)C2CNCCO2)cc1,False,False,False
CITALOPRAM,c1ccc(C2OCc3ccccc32)cc1,True,False,False
PILOCARPINE,O=C1C[C@@H](Cc2cnc[nH]2)CO1,False,False,False
COLCHICINE,O=c1cccc2c(c1)CCCc1ccccc1-2,True,False,False
ERLOTINIB,c1ccc(Nc2ncnc3ccccc23)cc1,True,True,True
LAPATINIB,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,True,True,True
CARBAMAZEPINE,C1=Cc2ccccc2Nc2ccccc21,True,False,False
VALPROIC ACID,,True,False,False
TEMAFLOXACIN,O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,False,False,False
BENZNIDAZOLE,O=C(Cn1ccnc1)NCc1ccccc1,False,False,False
DEFEROXAMINE,,False,False,False
MEXILETINE,c1ccccc1,False,False,False
DEXTROTHYROXINE,c1ccc(Oc2ccccc2)cc1,False,False,False
RIMONABANT,O=C(NN1CCCCC1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,True,False,False
NOMIFENSINE,c1ccc(C2CNCc3ccccc32)cc1,False,False,False
LOMEFLOXACIN,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,True,False,False
GRISEOFULVIN,O=C1C=C[C@]2(CC1)Oc1ccccc1C2=O,True,False,False
FLURBIPROFEN,c1ccc(-c2ccccc2)cc1,True,False,False
PROMAZINE,c1ccc2c(c1)Nc1ccccc1S2,False,False,False
CLOFIBRATE,c1ccccc1,True,False,False
