molecule_chembl_id,pref_name,canonical_smiles,molecular_weight,alogp,hbd,hba,psa,num_rings,synonyms
CHEMBL1237119,TREPROSTINIL,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,390.52,3.58,3.0,4.0,86.99,10.0,15-AU-81|15AU81|L-606|L606|LRX -15|LRX-15|Remodulin|Rumodolin|Treprostinil|Treprostinil|Treprostinil|Treprostinil|Treprostinil|Treprostinil|Treprostinilo|Tresprostinil|Tyvaso|Tyvaso dpi|Uniprost|UT-15
CHEMBL1237122,CARBOPROST,CCCCC[C@](C)(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O,368.51,3.43,4.0,4.0,97.99,12.0,"15-methyl-pgf2.alpha.|15-methylprostaglandin f2.alpha.|(15s)-15-methyl-pgf2.alpha.|Carboprost|Carboprost|Carboprost|Carboprost|Carboprost|Hemabate|U-32,921|U-32921"
CHEMBL1237123,DOXACURIUM,COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,1035.24,,,,,,Doxacurium cation|Doxacurium ion
CHEMBL1237132,CLEVIDIPINE,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,456.32,4.25,1.0,7.0,90.93,7.0,Clevidepine|Clevidepine butyrate|Clevidipine|Clevidipine|Clevidipine|Clevidipine|Clevidipine|Clevidipine|Clevidipino|Cleviprex|H-324/38|H324/38
CHEMBL1237135,MAPROTILINE HYDROCHLORIDE,CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl,313.87,4.21,1.0,1.0,12.03,4.0,"BA-34,276|BA-34276|BA-34276 HYDROCHLORIDE|Ludiomil|Maprotiline hcl|Maprotiline hydrochloride|Maprotiline hydrochloride|Maprotiline hydrochloride|NSC-757085"
CHEMBL1241951,LETERMOVIR,COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,572.56,5.71,1.0,7.0,77.84,6.0,AIC 246|AIC-246|AIC246|Letermovir|Letermovir|Letermovir|Letermovir|Letermovir|Letermovir|Letermovir|Letermovir|Letermovir|MK-8228|Prevymis
CHEMBL1254682,LEVALLORPHAN,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,283.41,3.64,1.0,2.0,23.47,2.0,Levallorphan|Levallorphane|Levalorfano|Naloxiphan
CHEMBL1255654,TETRACAINE HYDROCHLORIDE,CCCCNc1ccc(C(=O)OCCN(C)C)cc1.Cl,300.83,2.62,1.0,4.0,41.57,8.0,Anethaine|Butethanol|Curtacain|Dicainum|Locan|Menonasal|NSC-757337|Pantocaine|Tetocaine|Tetraca|Tetracaine hcl|Tetracaine hydrochloride|Tetracaine hydrochloride|Tetracaine hydrochloride|Tetracaine hydrochloride|Tetracaine hydrochloride|Tetracaine hydrochloride component of kovanaze|Tetracaini hydrochloridum
CHEMBL1255739,METHAPYRILENE HYDROCHLORIDE,CN(C)CCN(Cc1cccs1)c1ccccn1.Cl,297.86,2.71,0.0,4.0,19.37,6.0,Methapyrilene hcl|Methapyrilene hydrochloride|Methapyrilene hydrochloride|NSC-758410
CHEMBL1255800,FIDAXOMICIN,CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C,1058.05,,,,,,Dificid|Dificlir|Fidaxomicin|Fidaxomicin|Fidaxomicin|Fidaxomicin|Fidaxomicin|Fidaxomicin|Fidaxomicin|Fidaxomicin|Fidaxomicin|Fidaxomicina|Fidaxomicine|OPT-80|PAR-101
