fold,test_auroc,test_prauc,test_f1,train_auroc,train_prauc,train_f1
1,0.9936453391651454,0.8097537561771744,0.7097744360902255,0.999768661190251,0.9874956682983718,0.8085436893203884
2,0.9917972991424095,0.800956549060079,0.6822840409956077,0.9998655561974283,0.9933093809345648,0.808065141527724
3,0.9930180165536433,0.8428040626228389,0.694767441860465,0.9998558625346138,0.9930396826999971,0.8137446310035144
4,0.9920900437572739,0.788028675234313,0.6867469879518071,0.9998673712242524,0.993179356842137,0.8172549019607844
5,0.9957392887101111,0.8493465755669933,0.728358208955224,0.999763317376134,0.9872612610942104,0.8051044083526683
