fold,test_auroc,test_prauc,test_f1,train_auroc,train_prauc,train_f1
1,0.9939871582254685,0.8273076339546044,0.7289433384379785,0.9998292032865153,0.9908018046612517,0.8351383874849578
2,0.9907657848026372,0.804034375921331,0.696048632218845,0.9998727858852807,0.9933982427159028,0.841000807102502
3,0.9936737254799972,0.8443443349725134,0.7102526002971769,0.9998753208389456,0.9936591027836261,0.8372840498192045
4,0.9909956242726085,0.7939143308825574,0.6905132192846034,0.9999013801626208,0.9947311931375371,0.8454361054766734
5,0.9959107794651562,0.848196620924793,0.7392638036809814,0.9998427055186675,0.9912638365291133,0.832467013194722
