model,auroc,prauc,f1_05,precision_05,recall_05,best_threshold,f1_best,precision_best,recall_best,tn,fp,fn,tp,train_time_s
XGBoost,0.8644523846673947,0.07593633409195956,0.042098445595854926,0.02150181938471717,1.0,0.1,0.042098445595854926,0.02150181938471717,1.0,0,14790,0,325,350.4
LightGBM,0.8564510324023509,0.08748060467271057,0.05373233032983385,0.02760788311247027,1.0,0.8899999999999996,0.07105147382314123,0.03684270560054751,0.9938461538461538,3343,11447,0,325,85.0
RandomForest,0.9011356945961408,0.1225849997482995,0.042098445595854926,0.02150181938471717,1.0,0.8899999999999996,0.17138103161397672,0.0941786040841207,0.9507692307692308,0,14790,0,325,1180.8
