cell_id,distil_ss,dn50_lm,is_gold,ngenes_modulated_dn_lm,ngenes_modulated_up_lm,pert_dose,pert_id,pert_iname,pert_time,sig_id,up50_lm
A549,2.58154,"['64422', '54442', '23326', '9637', '3930', '80204', '3315', '9688', '2887', '4850', '23139', '695', '6509', '8974', '3385', '10165', '10059', '5211', '11230', '26054', '55746', '23142', '6050', '7165', '7296', '5743', '5899', '3416', '5927', '55129', '1846', '4043', '4616', '51070', '55038', '4792', '5601', '29890', '8878', '4780', '51635', '22827', '8202', '26128', '51116', '3398', '595', '8518', '6772', '51282']",False,12,6,10.0,BRD-A29485665,bicalutamide,6,CPC011_A549_6H:BRD-A29485665-001-07-8:10,"['8804', '10150', '56940', '1633', '3206', '26511', '51385', '51293', '2115', '5423', '25', '5058', '10174', '10049', '9641', '348', '8851', '25825', '4791', '57215', '6253', '2042', '5366', '10057', '80349', '1829', '8444', '5603', '10451', '1001', '3775', '60493', '9093', '7690', '51026', '9455', '1861', '1786', '10695', '10810', '5048', '3566', '7466', '5796', '1891', '10559', '596', '3508', '79961', '10525']"
HA1E,3.15024,"['1616', '6304', '256364', '10131', '23149', '2673', '3628', '6118', '23463', '9217', '23658', '25874', '6119', '11007', '7982', '8869', '23378', '2184', '4144', '56997', '8821', '899', '51031', '2954', '572', '23224', '11157', '3978', '116832', '1452', '5891', '890', '54850', '9709', '23200', '3725', '10174', '10559', '1983', '1027', '4651', '3638', '5223', '4616', '8624', '10730', '55256', '8550', '6050', '5696']",False,21,13,10.0,BRD-A29485665,bicalutamide,6,CPC011_HA1E_6H:BRD-A29485665-001-07-8:10,"['2770', '2908', '6193', '1385', '4794', '85377', '8996', '25803', '9637', '7043', '64422', '843', '958', '727', '7020', '10668', '84159', '1050', '9170', '51465', '5467', '23142', '5613', '5480', '9686', '6253', '10165', '1906', '29928', '51335', '1845', '63933', '4088', '5154', '3988', '1676', '80746', '1500', '596', '57804', '10641', '2042', '89910', '9917', '9697', '5529', '51375', '54541', '51056', '8835']"
HT29,2.17605,"['54881', '79090', '2263', '4925', '701', '9143', '4690', '9270', '2690', '10904', '7376', '84722', '79187', '11000', '843', '2288', '22794', '9650', '6616', '9181', '6659', '6347', '8835', '1399', '55556', '2736', '351', '4794', '3682', '4232', '6284', '5321', '29937', '1906', '958', '9915', '3308', '9690', '1534', '51203', '3303', '960', '51070', '10165', '9183', '10131', '55256', '10038', '211', '79143']",False,12,8,10.0,BRD-A29485665,bicalutamide,6,CPC011_HT29_6H:BRD-A29485665-001-07-8:10,"['50810', '5106', '10668', '9710', '9053', '11200', '10962', '2048', '1026', '6832', '2065', '5257', '9246', '1465', '10451', '200734', '8837', '3416', '501', '10915', '55825', '9448', '128', '56654', '5827', '27109', '6184', '9761', '55148', '5287', '10227', '124583', '7088', '10013', '3398', '4154', '993', '7027', '10921', '54915', '26001', '7511', '9688', '23338', '652', '5018', '26993', '3775', '30836', '29911']"
MCF7,5.57914,"['5529', '2058', '501', '10285', '2597', '10051', '9817', '29911', '11182', '1017', '9650', '2958', '7866', '8870', '23658', '3066', '7319', '8446', '64429', '51203', '6009', '4690', '6697', '1212', '10969', '5796', '1738', '5373', '200734', '10559', '10434', '2896', '9467', '11000', '11232', '6461', '124583', '4931', '51021', '3682', '891', '10273', '26520', '55748', '8318', '9531', '22827', '8050', '5111', '5223']",False,69,81,10.0,BRD-A29485665,bicalutamide,24,CPC011_MCF7_24H:BRD-A29485665-001-07-8:10,"['4303', '1677', '4791', '9488', '8553', '9637', '26036', '695', '84890', '9697', '2946', '1759', '5971', '8573', '6443', '4793', '9267', '23077', '148022', '2115', '10892', '3628', '23530', '2185', '1277', '3815', '4216', '4864', '23212', '6908', '23378', '10123', '3206', '4200', '23131', '5359', '9517', '8851', '10954', '7849', '29928', '5261', '3383', '9854', '8869', '30001', '9134', '1950', '5468', '6696']"
MCF7,2.66486,"['22794', '1399', '23588', '93487', '10775', '7264', '836', '26520', '2597', '847', '5898', '80347', '55033', '4605', '1027', '1738', '3329', '9918', '2956', '9128', '2222', '890', '5054', '6275', '1445', '51053', '10972', '2896', '2109', '5092', '8726', '4232', '7750', '22827', '54541', '90861', '3638', '351', '3978', '10523', '23', '11182', '1153', '2771', '5889', '11232', '80758', '5985', '10038', '39']",False,9,14,10.0,BRD-A29485665,bicalutamide,6,CPC011_MCF7_6H:BRD-A29485665-001-07-8:10,"['23335', '4851', '9641', '727', '1870', '6616', '2908', '375346', '5997', '5696', '10525', '23338', '8444', '56940', '6988', '2767', '5654', '9053', '6990', '23038', '7466', '116832', '6194', '54881', '6599', '51293', '4088', '11284', '57048', '51071', '79961', '22823', '9143', '9016', '55604', '55748', '5827', '10227', '874', '8996', '79902', '29928', '51282', '10953', '142', '8270', '6195', '10150', '50865', '54681']"
PC3,4.00479,"['55011', '2063', '5438', '3337', '58533', '8895', '5782', '7158', '874', '63933', '10285', '55324', '5547', '80349', '5468', '10227', '3251', '93487', '26227', '8243', '55012', '8550', '9552', '10668', '5110', '26128', '11232', '3066', '1633', '5525', '5054', '54499', '10146', '9847', '64429', '3638', '891', '3303', '7088', '5898', '5982', '79174', '10007', '10038', '5287', '29082', '51116', '8884', '1398', '51026']",False,45,36,10.0,BRD-A29485665,bicalutamide,24,CPC011_PC3_24H:BRD-A29485665-001-07-8:10,"['9641', '10732', '23335', '4313', '10954', '10810', '9738', '58497', '8312', '178', '6304', '2770', '4582', '4208', '375346', '85377', '6251', '8835', '80212', '23212', '10525', '5583', '102', '7852', '2769', '5331', '10174', '79961', '9016', '3122', '55958', '54438', '11325', '83743', '55008', '7466', '55556', '3566', '8444', '3202', '1891', '10153', '23139', '23536', '58472', '9842', '51375', '1111', '5900', '56940']"
PC3,3.16427,"['23039', '10038', '831', '1452', '6659', '23463', '5092', '481', '27095', '5096', '983', '10972', '4125', '10962', '332', '5154', '7296', '6599', '2146', '85236', '9690', '9926', '9133', '54499', '993', '5255', '8518', '54512', '5985', '23325', '6195', '5836', '55818', '54957', '9217', '9448', '998', '8520', '8678', '1848', '6856', '51203', '3909', '57019', '22827', '1738', '5018', '10245', '572', '51635']",False,23,11,10.0,BRD-A29485665,bicalutamide,6,CPC011_PC3_6H:BRD-A29485665-001-07-8:10,"['4775', '23212', '9053', '6304', '2048', '10153', '9491', '9533', '9467', '3815', '3551', '2624', '5289', '5498', '8569', '5927', '23635', '89910', '902', '84159', '7416', '2886', '1111', '23161', '51071', '4776', '5261', '81533', '5588', '51495', '57406', '9650', '54438', '6944', '9246', '10810', '5796', '26136', '211', '7043', '154', '10732', '8444', '808', '2263', '2817', '10818', '9851', '2736', '55893']"
VCAP,2.81474,"['2771', '1500', '7398', '2624', '51466', '10776', '8550', '9275', '9854', '91137', '8440', '11325', '2222', '2037', '27346', '427', '9517', '533', '10237', '29082', '51070', '55148', '54915', '56889', '55111', '8204', '85377', '5997', '2690', '25793', '7511', '80349', '51335', '22883', '80347', '3157', '8324', '51282', '2886', '813', '10270', '54681', '7994', '3909', '5300', '1633', '7750', '51160', '329', '84890']",False,7,15,10.0,BRD-A29485665,bicalutamide,24,CPC011_VCAP_24H:BRD-A29485665-001-07-8:10,"['5891', '3815', '1994', '5289', '835', '56940', '6443', '581', '55746', '9797', '5921', '57406', '4172', '3553', '9903', '55127', '23142', '6251', '8821', '7077', '2736', '4016', '23335', '2063', '23223', '5566', '51375', '2113', '6657', '1788', '54438', '5788', '3566', '3482', '6793', '64781', '11151', '5359', '9641', '7538', '6850', '55893', '9552', '4776', '7376', '23368', '836', '9212', '1021', '84722']"
VCAP,2.58328,"['6499', '10245', '29082', '9650', '7982', '57215', '56889', '5721', '9926', '51024', '10058', '2109', '23326', '6597', '4891', '5154', '949', '310', '6599', '5438', '27346', '3157', '54733', '6461', '4792', '51742', '6659', '9519', '54512', '79850', '2222', '80758', '3486', '83743', '93487', '23386', '1465', '6253', '55011', '55148', '7358', '388650', '3337', '6182', '23321', '79902', '831', '51203', '51635', '4282']",False,8,6,10.0,BRD-A29485665,bicalutamide,6,CPC011_VCAP_6H:BRD-A29485665-001-07-8:10,"['5357', '8837', '25825', '4482', '23212', '4582', '29978', '54442', '55825', '58472', '54850', '11142', '54623', '11000', '7905', '79094', '23200', '5867', '57406', '79600', '6839', '9552', '5716', '596', '10818', '2113', '5467', '2769', '8821', '9988', '1123', '6347', '4651', '54438', '57147', '8312', '7015', '1831', '79187', '2115', '10644', '6251', '3383', '9212', '8503', '23410', '55746', '9851', '5880', '23142']"
A375,5.08598,"['1846', '902', '23658', '58478', '56654', '7416', '3122', '8204', '10434', '466', '55012', '54541', '1514', '27336', '5889', '10174', '55818', '7319', '9126', '54499', '581', '7157', '5696', '10007', '23670', '5891', '57019', '7296', '7866', '1848', '2109', '64422', '10038', '8520', '8480', '57761', '7264', '5468', '10813', '55256', '51282', '10652', '8870', '991', '128', '30836', '5993', '23325', '25976', '91137']",False,73,63,10.0,BRD-K29905972,axitinib,6,CPC013_A375_6H:BRD-K29905972-001-03-0:10,"['5743', '57192', '727', '9143', '1001', '80204', '11000', '2770', '51005', '7105', '23378', '3398', '23097', '10898', '25966', '7376', '79961', '5909', '9491', '81544', '65123', '5716', '1956', '58472', '9016', '80746', '29763', '23139', '1282', '9112', '2624', '7852', '23224', '9842', '2017', '23410', '387', '63874', '2264', '2767', '79174', '10112', '9917', '8727', '10810', '25803', '54442', '51024', '5986', '23536']"
