FEATURE_NAME,MEAN_ABS_SHAP,FEATURE_GROUP
D2_FP_339,0.0065664994,FP
TISSUE_breast,0.0065259743,TISSUE
D2_FP_123,0.0065009375,FP
D1_FP_271,0.006499008,FP
MUT_cnaPANCAN93,0.0064443187,MUTATION
D1_FP_714,0.006420069,FP
MUT_ARID1A_mut,0.006406812,MUTATION
D2_FP_280,0.0063946806,FP
D1_FP_356,0.0063393917,FP
D2_FP_807,0.006332499,FP
GROWTH_Adherent,0.0063241525,CELL
D1_FP_666,0.0062937676,FP
D2_FP_419,0.0062081846,FP
PAIR_TARGET_OVERLAP,0.0061932434,FP
D2_FP_932,0.0060601486,FP
MUT_cnaPANCAN334,0.0060478915,MUTATION
D2_FP_4,0.006022499,FP
D2_FP_128,0.0060046096,FP
D2_FP_314,0.0059299194,FP
D2_FP_193,0.00591219,FP
D2_FP_922,0.0059009036,FP
D2_LINCS_MEAN_NGENES_UP,0.005885905,LINCS
D1_FP_932,0.0058608833,FP
D1_FP_350,0.0058324477,FP
D2_FP_139,0.005831914,FP
MUT_cnaPANCAN129,0.005811141,MUTATION
D2_FP_804,0.005774703,FP
MUT_cnaPANCAN210,0.0057576867,MUTATION
D1_FP_675,0.0056569837,FP
MUT_cnaPANCAN117,0.0056481175,MUTATION
D2_FP_765,0.00559581,FP
D2_FP_831,0.005588165,FP
D1_FP_718,0.0055606375,FP
MUT_cnaPANCAN311,0.0054953094,MUTATION
MUT_cnaPANCAN387,0.005480058,MUTATION
D2_N_TARGETS,0.0054692663,FP
D1_FP_222,0.0054474385,FP
D1_FP_471,0.005425247,FP
D1_FP_512,0.005416262,FP
D2_FP_302,0.0053732265,FP
D2_FP_402,0.005291136,FP
MUT_cnaPANCAN205,0.005283856,MUTATION
D2_FP_792,0.005282395,FP
D2_FP_226,0.0052819303,FP
MUT_cnaPANCAN30,0.0052383095,MUTATION
D2_FP_167,0.005216146,FP
MUT_AKAP9_mut,0.0052063633,MUTATION
D2_FP_173,0.0051901843,FP
MUT_cnaPANCAN177,0.005138451,MUTATION
D2_FP_451,0.005126475,FP
D1_FP_695,0.005114958,FP
D1_FP_521,0.005090594,FP
D2_FP_815,0.0050859526,FP
MUT_cnaPANCAN362,0.005081882,MUTATION
D2_FP_855,0.0050482308,FP
D1_FP_78,0.0050362716,FP
D1_FP_321,0.00502717,FP
D1_FP_422,0.0050235237,FP
MUT_cnaPANCAN247,0.005014098,MUTATION
D1_FP_950,0.0049999184,FP
MUT_cnaPANCAN302,0.00492667,MUTATION
D2_FP_352,0.004920791,FP
MUT_cnaPANCAN214,0.0047878115,MUTATION
D2_FP_360,0.004779636,FP
D1_FP_602,0.0047494406,FP
D1_FP_1004,0.0047417744,FP
D2_FP_473,0.004729845,FP
D1_FP_966,0.004683713,FP
D1_FP_333,0.004663859,FP
D1_FP_841,0.004637493,FP
D2_LINCS_MEAN_DISTIL_SS,0.0046321824,LINCS
D1_FP_433,0.004627547,FP
D1_FP_494,0.0046274248,FP
D1_FP_161,0.004612756,FP
D2_FP_666,0.0045611607,FP
D1_LINCS_MEAN_NGENES_UP,0.0045246915,LINCS
D1_FP_73,0.0045208926,FP
D2_FP_541,0.0045110937,FP
D1_FP_425,0.004481025,FP
D2_FP_926,0.0044549564,FP
D1_FP_790,0.0043621315,FP
D1_FP_688,0.0043526553,FP
MUT_cnaPANCAN2,0.004319445,MUTATION
D1_FP_123,0.004305269,FP
D1_FP_893,0.004304382,FP
D2_FP_750,0.0042986404,FP
D2_FP_488,0.004293846,FP
D1_FP_486,0.004262172,FP
MUT_cnaPANCAN246,0.0042472174,MUTATION
D2_FP_175,0.004165783,FP
D1_FP_392,0.0041564973,FP
D2_FP_954,0.0041408706,FP
D1_FP_317,0.0041275667,FP
D1_LINCS_MEAN_NGENES_DN,0.0041009733,LINCS
D1_FP_298,0.0040747183,FP
D1_FP_659,0.0040657734,FP
D1_N_TARGETS,0.0040387744,FP
D1_FP_545,0.0040291403,FP
D1_FP_335,0.004010491,FP
D2_FP_601,0.0039689452,FP
D2_FP_1004,0.0039049417,FP
MUT_cnaPANCAN60,0.0038548908,MUTATION
