Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,FDR_BH,SIGNIFICANT
Reactome_2022,TCR Signaling R-HSA-202403,2/116,0.0014558356766627,0.009943047919335,0,0,43.58771929824562,284.722618807131,PIK3CA;PTEN,0.009943047919334612,True
Reactome_2022,Signaling By TGFB Family Members R-HSA-9006936,2/119,0.0015312212856459,0.0102400423477575,0,0,42.46367521367522,275.23636354227165,EP300;ACVR2A,0.010240042347756958,True
Reactome_2022,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,3/496,0.0015974740115562,0.0104650848512155,0,0,16.94900028977108,109.14023383299208,PIK3CA;EP300;BRAF,0.010465084851215107,True
Reactome_2022,PTEN Regulation R-HSA-6807070,2/139,0.0020805863688292,0.0133573644878835,0,0,36.22810218978102,223.71235369917136,PTEN;TP53,0.013357364487883465,True
Reactome_2022,Signaling To P38 Via RIT And RIN R-HSA-187706,1/5,0.0024977078641967,0.0151276268756066,0,0,555.1666666666666,3326.7706415121643,BRAF,0.01512762687560643,True
Reactome_2022,Activation Of NOXA And Translocation To Mitochondria R-HSA-111448,1/5,0.0024977078641967,0.0151276268756066,0,0,555.1666666666666,3326.7706415121643,TP53,0.01512762687560643,True
Reactome_2022,LRR FLII-interacting Protein 1 (LRRFIP1) Activates Type I IFN Production R-HSA-3134973,1/5,0.0024977078641967,0.0151276268756066,0,0,555.1666666666666,3326.7706415121643,EP300,0.01512762687560643,True
Reactome_2022,Regulation Of TP53 Activity R-HSA-5633007,2/157,0.0026438112110856,0.0157159888658978,0,0,31.991935483870968,189.88921318610832,EP300;TP53,0.015715988865897736,True
Reactome_2022,Activated NTRK2 Signals Thru PI3K R-HSA-9028335,1/6,0.0029965781728721,0.0161551516681689,0,0,444.1111111111111,2580.4117942926405,PIK3CA,0.016155151668168645,True
Reactome_2022,Activated NTRK3 Signals Thru PI3K R-HSA-9603381,1/6,0.0029965781728721,0.0161551516681689,0,0,444.1111111111111,2580.4117942926405,PIK3CA,0.016155151668168645,True
Reactome_2022,RAS Signaling Downstream Of NF1 Loss-Of-Function Variants R-HSA-6802953,1/6,0.0029965781728721,0.0161551516681689,0,0,444.1111111111111,2580.4117942926405,NF1,0.016155151668168645,True
Reactome_2022,MET Activates PI3K/AKT Signaling R-HSA-8851907,1/6,0.0029965781728721,0.0161551516681689,0,0,444.1111111111111,2580.4117942926405,PIK3CA,0.016155151668168645,True
Reactome_2022,Negative Feedback Regulation Of MAPK Pathway R-HSA-5674499,1/6,0.0029965781728721,0.0161551516681689,0,0,444.1111111111111,2580.4117942926405,BRAF,0.016155151668168645,True
Reactome_2022,SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,2/168,0.0030196545174147,0.0161551516681689,0,0,29.85542168674699,173.2394535917386,EP300;TP53,0.016155151668168645,True
Reactome_2022,SUMOylation R-HSA-2990846,2/174,0.0032346816302637,0.0170218492346666,0,0,28.805232558139537,165.16415594776484,EP300;TP53,0.017021849234666354,True
Reactome_2022,ARMS-mediated Activation R-HSA-170984,1/7,0.0034952242970889,0.017716751507633,0,0,370.0740740740741,2093.271349114512,BRAF,0.017716751507632925,True
Reactome_2022,RUNX3 Regulates CDKN1A Transcription R-HSA-8941855,1/7,0.0034952242970889,0.017716751507633,0,0,370.0740740740741,2093.271349114512,TP53,0.017716751507632925,True
Reactome_2022,G2/M Transition R-HSA-69275,2/182,0.003532311827067,0.017716751507633,0,0,27.51388888888889,155.33798855823653,EP300;TP53,0.017716751507632925,True
Reactome_2022,Mitotic G2-G2/M Phases R-HSA-453274,2/184,0.0036086619467618,0.0178212382293931,0,0,27.208791208791208,153.03362121513777,EP300;TP53,0.01782123822939289,True
Reactome_2022,ESR-mediated Signaling R-HSA-8939211,2/188,0.0037636841126858,0.0183051909116994,0,0,26.618279569892472,148.59273886129486,PIK3CA;EP300,0.018305190911699118,True
Reactome_2022,Gain-of-function MRAS Complexes Activate RAF Signaling R-HSA-9726842,1/8,0.0039936462613403,0.0191337380580635,0,0,317.1904761904762,1751.8590547314027,BRAF,0.01913373805806323,True
Reactome_2022,TCF Dependent Signaling In Response To WNT R-HSA-201681,2/198,0.0041647232283882,0.0194848913312294,0,0,25.24744897959184,138.38393038592545,EP300;SMARCA4,0.01948489133122928,True
Reactome_2022,Ub-specific Processing Proteases R-HSA-5689880,2/201,0.0042887731676215,0.0194848913312294,0,0,24.86306532663317,135.54732981615194,PTEN;TP53,0.01948489133122928,True
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,3/702,0.004295119280411,0.0194848913312294,0,0,11.827713059472716,64.46430005529668,PIK3CA;TP53;SMARCA4,0.01948489133122928,True
Reactome_2022,Signaling By NOTCH R-HSA-157118,2/203,0.0043724275862743,0.0194848913312294,0,0,24.61318407960199,133.70956972525602,EP300;TP53,0.01948489133122928,True
Reactome_2022,PI3K/AKT Activation R-HSA-198203,1/9,0.0044918441075108,0.0194848913312294,0,0,277.52777777777777,1500.1741678966396,PIK3CA,0.01948489133122928,True
Reactome_2022,Activation Of PUMA And Translocation To Mitochondria R-HSA-139915,1/9,0.0044918441075108,0.0194848913312294,0,0,277.52777777777777,1500.1741678966396,TP53,0.01948489133122928,True
Reactome_2022,Regulation Of PTEN Localization R-HSA-8948747,1/9,0.0044918441075108,0.0194848913312294,0,0,277.52777777777777,1500.1741678966396,PTEN,0.01948489133122928,True
Reactome_2022,Phospholipid Metabolism R-HSA-1483257,2/208,0.0045848948023349,0.0196233497539936,0,0,24.00970873786408,129.29199625590968,PIK3CA;PTEN,0.019623349753993373,True
