CHEMBL_ID,TARGET_CHEMBL_ID,MECHANISM
CHEMBL1716,CHEMBL231,ANTAGONIST
CHEMBL3544908,CHEMBL231,ANTAGONIST
CHEMBL1200638,CHEMBL231,ANTAGONIST
CHEMBL1200750,CHEMBL231,ANTAGONIST
CHEMBL1200809,CHEMBL231,ANTAGONIST
CHEMBL1200961,CHEMBL231,ANTAGONIST
CHEMBL1201006,CHEMBL231,ANTAGONIST
CHEMBL1607273,CHEMBL231,ANTAGONIST
CHEMBL1719,CHEMBL231,ANTAGONIST
CHEMBL1200532,CHEMBL231,ANTAGONIST
CHEMBL1200927,CHEMBL231,ANTAGONIST
CHEMBL998,CHEMBL231,ANTAGONIST
CHEMBL1659,CHEMBL231,ANTAGONIST
CHEMBL1200795,CHEMBL231,ANTAGONIST
CHEMBL1237102,CHEMBL231,ANTAGONIST
CHEMBL1200967,CHEMBL231,ANTAGONIST
CHEMBL1201068,CHEMBL231,ANTAGONIST
CHEMBL3989555,CHEMBL231,ANTAGONIST
CHEMBL3989520,CHEMBL231,AGONIST
CHEMBL1200974,CHEMBL231,ANTAGONIST
CHEMBL1201747,CHEMBL231,ANTAGONIST
CHEMBL1224,CHEMBL231,ANTAGONIST
CHEMBL3188034,CHEMBL231,ANTAGONIST
CHEMBL1200769,CHEMBL231,ANTAGONIST
CHEMBL3186993,CHEMBL231,ANTAGONIST
CHEMBL1172,CHEMBL231,ANTAGONIST
CHEMBL1620,CHEMBL231,ANTAGONIST
CHEMBL1653,CHEMBL231,ANTAGONIST
CHEMBL1200392,CHEMBL231,ANTAGONIST
CHEMBL1200446,CHEMBL231,ANTAGONIST
CHEMBL1200550,CHEMBL231,ANTAGONIST
CHEMBL1201190,CHEMBL231,ANTAGONIST
CHEMBL1201759,CHEMBL231,ANTAGONIST
CHEMBL1564,CHEMBL231,ANTAGONIST
CHEMBL1633,CHEMBL231,ANTAGONIST
CHEMBL2360580,CHEMBL231,ANTAGONIST
CHEMBL1200406,CHEMBL231,ANTAGONIST
CHEMBL2103739,CHEMBL231,ANTAGONIST
CHEMBL1200959,CHEMBL231,ANTAGONIST
CHEMBL1201089,CHEMBL231,ANTAGONIST
CHEMBL1201023,CHEMBL231,ANTAGONIST
CHEMBL1200395,CHEMBL231,ANTAGONIST
CHEMBL1689,CHEMBL231,AGONIST
CHEMBL1200948,CHEMBL231,ANTAGONIST
CHEMBL1201581,CHEMBL1825,INHIBITOR
CHEMBL1201831,CHEMBL1825,INHIBITOR
CHEMBL1201580,CHEMBL1825,INHIBITOR
CHEMBL1201572,CHEMBL1825,INHIBITOR
CHEMBL1201833,CHEMBL1825,INHIBITOR
CHEMBL779,CHEMBL1827,INHIBITOR
CHEMBL1339,CHEMBL1827,INHIBITOR
CHEMBL1737,CHEMBL1827,INHIBITOR
CHEMBL1963681,CHEMBL1827,INHIBITOR
CHEMBL98,CHEMBL1829,INHIBITOR
CHEMBL2359670,CHEMBL217,ANTAGONIST
CHEMBL3989478,CHEMBL217,ANTAGONIST
CHEMBL1200951,CHEMBL217,ANTAGONIST
CHEMBL567,CHEMBL217,ANTAGONIST
CHEMBL1200707,CHEMBL217,MODULATOR
CHEMBL728,CHEMBL217,ANTAGONIST
CHEMBL1448187,CHEMBL217,ANTAGONIST
CHEMBL1201087,CHEMBL217,AGONIST
CHEMBL1314751,CHEMBL217,ANTAGONIST
CHEMBL1200854,CHEMBL217,ANTAGONIST
CHEMBL2360079,CHEMBL217,ANTAGONIST
CHEMBL908,CHEMBL217,ANTAGONIST
CHEMBL1201102,CHEMBL217,ANTAGONIST
CHEMBL3544974,CHEMBL217,ANTAGONIST
CHEMBL1112,CHEMBL217,PARTIAL AGONIST
CHEMBL2107360,CHEMBL217,ANTAGONIST
CHEMBL14376,CHEMBL217,ANTAGONIST
CHEMBL1201052,CHEMBL217,ANTAGONIST
CHEMBL1200940,CHEMBL217,ANTAGONIST
CHEMBL1200419,CHEMBL217,ANTAGONIST
CHEMBL1621,CHEMBL217,ANTAGONIST
CHEMBL1201,CHEMBL217,ANTAGONIST
CHEMBL3989824,CHEMBL217,ANTAGONIST
CHEMBL570,CHEMBL217,ANTAGONIST
CHEMBL1200948,CHEMBL217,ANTAGONIST
CHEMBL4594248,CHEMBL1832,AGONIST
CHEMBL3989767,CHEMBL1832,AGONIST
CHEMBL2103795,CHEMBL227,ANTAGONIST
CHEMBL995,CHEMBL227,ANTAGONIST
CHEMBL1513,CHEMBL227,ANTAGONIST
CHEMBL1069,CHEMBL227,ANTAGONIST
CHEMBL1200670,CHEMBL227,ANTAGONIST
CHEMBL1200692,CHEMBL227,ANTAGONIST
CHEMBL1014,CHEMBL227,ANTAGONIST
CHEMBL1200987,CHEMBL227,ANTAGONIST
CHEMBL1017,CHEMBL227,ANTAGONIST
CHEMBL1200843,CHEMBL1833,PARTIAL AGONIST
CHEMBL1200938,CHEMBL1833,ANTAGONIST
CHEMBL1201589,CHEMBL1834,INHIBITOR
CHEMBL1515,CHEMBL1839,INHIBITOR
CHEMBL1518,CHEMBL1839,INHIBITOR
CHEMBL1201506,CHEMBL1842,BINDING AGENT
CHEMBL1200748,CHEMBL1843,INHIBITOR
CHEMBL1201733,CHEMBL1844,INHIBITOR
CHEMBL1567,CHEMBL1844,INHIBITOR
CHEMBL1201535,CHEMBL229,AGONIST
CHEMBL24778,CHEMBL229,ANTAGONIST
CHEMBL1201044,CHEMBL229,ANTAGONIST
CHEMBL1200695,CHEMBL229,AGONIST
CHEMBL1201827,CHEMBL203,INHIBITOR
CHEMBL1201577,CHEMBL203,INHIBITOR
CHEMBL1079742,CHEMBL203,INHIBITOR
CHEMBL939,CHEMBL203,INHIBITOR
CHEMBL1201179,CHEMBL203,INHIBITOR
CHEMBL1009,CHEMBL234,AGONIST
CHEMBL908,CHEMBL234,ANTAGONIST
CHEMBL928,CHEMBL1846,ANTAGONIST
CHEMBL64,CHEMBL1849,INHIBITOR
CHEMBL1441,CHEMBL1849,INHIBITOR
CHEMBL1201419,CHEMBL1854,AGONIST
CHEMBL1201464,CHEMBL1854,AGONIST
CHEMBL1201509,CHEMBL1854,AGONIST
CHEMBL1201697,CHEMBL1854,AGONIST
CHEMBL2103735,CHEMBL1855,ANTAGONIST
CHEMBL1200671,CHEMBL1855,AGONIST
CHEMBL1200511,CHEMBL1855,AGONIST
CHEMBL1252,CHEMBL1855,ANTAGONIST
CHEMBL2028987,CHEMBL1855,ANTAGONIST
CHEMBL1200501,CHEMBL1855,AGONIST
CHEMBL1200509,CHEMBL1855,AGONIST
CHEMBL1200516,CHEMBL1855,AGONIST
CHEMBL1200554,CHEMBL1855,AGONIST
CHEMBL5314377,CHEMBL1855,ANTAGONIST
CHEMBL1200775,CHEMBL1855,AGONIST
CHEMBL710,CHEMBL1856,INHIBITOR
CHEMBL93,CHEMBL215,INHIBITOR
CHEMBL1200760,CHEMBL215,INHIBITOR
CHEMBL1562610,CHEMBL215,INHIBITOR
CHEMBL704,CHEMBL215,INHIBITOR
CHEMBL1201013,CHEMBL215,INHIBITOR
CHEMBL421,CHEMBL215,INHIBITOR
CHEMBL1200906,CHEMBL216,ANTAGONIST
CHEMBL1200347,CHEMBL216,ANTAGONIST
CHEMBL2218917,CHEMBL216,AGONIST
CHEMBL1200880,CHEMBL216,ANTAGONIST
CHEMBL1240,CHEMBL216,ANTAGONIST
CHEMBL1724,CHEMBL216,ANTAGONIST
CHEMBL1578,CHEMBL216,ANTAGONIST
CHEMBL1092,CHEMBL216,ANTAGONIST
CHEMBL1200828,CHEMBL216,ANTAGONIST
CHEMBL1201035,CHEMBL216,ANTAGONIST
CHEMBL1626570,CHEMBL216,ANTAGONIST
CHEMBL1201067,CHEMBL216,ANTAGONIST
CHEMBL1200479,CHEMBL216,ANTAGONIST
CHEMBL1200771,CHEMBL216,ANTAGONIST
CHEMBL2146146,CHEMBL216,ANTAGONIST
CHEMBL1761,CHEMBL216,ANTAGONIST
CHEMBL517712,CHEMBL216,ANTAGONIST
CHEMBL1529,CHEMBL216,ANTAGONIST
CHEMBL569713,CHEMBL216,ANTAGONIST
CHEMBL1200426,CHEMBL216,ANTAGONIST
CHEMBL1200970,CHEMBL216,ANTAGONIST
CHEMBL1200950,CHEMBL216,ANTAGONIST
CHEMBL1354199,CHEMBL216,ANTAGONIST
CHEMBL1200383,CHEMBL216,ANTAGONIST
CHEMBL1201027,CHEMBL216,ANTAGONIST
CHEMBL1200891,CHEMBL216,ANTAGONIST
CHEMBL1201740,CHEMBL1862,INHIBITOR
CHEMBL1421,CHEMBL1862,INHIBITOR
CHEMBL288441,CHEMBL1862,INHIBITOR
CHEMBL1946170,CHEMBL1862,INHIBITOR
CHEMBL1642,CHEMBL1862,INHIBITOR
CHEMBL1201832,CHEMBL1864,AGONIST
CHEMBL3989691,CHEMBL1864,AGONIST
CHEMBL98,CHEMBL1865,INHIBITOR
CHEMBL24,CHEMBL213,ANTAGONIST
CHEMBL1200837,CHEMBL213,ANTAGONIST
CHEMBL1200813,CHEMBL213,ANTAGONIST
CHEMBL1201115,CHEMBL213,ANTAGONIST
CHEMBL1200745,CHEMBL213,ANTAGONIST
CHEMBL1472989,CHEMBL213,ANTAGONIST
CHEMBL1201177,CHEMBL213,ANTAGONIST
CHEMBL500,CHEMBL213,PARTIAL AGONIST
CHEMBL1200947,CHEMBL213,ANTAGONIST
CHEMBL1200418,CHEMBL213,AGONIST
CHEMBL1557,CHEMBL213,AGONIST
CHEMBL521606,CHEMBL213,ANTAGONIST
CHEMBL1671,CHEMBL213,ANTAGONIST
CHEMBL2361370,CHEMBL213,ANTAGONIST
CHEMBL1700,CHEMBL213,ANTAGONIST
CHEMBL3989566,CHEMBL213,ANTAGONIST
CHEMBL1691,CHEMBL213,ANTAGONIST
CHEMBL1200870,CHEMBL213,ANTAGONIST
CHEMBL2356097,CHEMBL213,ANTAGONIST
CHEMBL2062335,CHEMBL213,ANTAGONIST
CHEMBL1201731,CHEMBL213,ANTAGONIST
CHEMBL1201063,CHEMBL213,ANTAGONIST
CHEMBL499,CHEMBL213,ANTAGONIST
CHEMBL1201461,CHEMBL287,AGONIST
CHEMBL3989509,CHEMBL287,MODULATOR
CHEMBL3989510,CHEMBL287,MODULATOR
CHEMBL1256818,CHEMBL287,AGONIST
CHEMBL1046,CHEMBL1873,INHIBITOR
CHEMBL1072,CHEMBL1874,INHIBITOR
CHEMBL456,CHEMBL1874,INHIBITOR
CHEMBL1148,CHEMBL1874,INHIBITOR
CHEMBL35,CHEMBL1874,INHIBITOR
CHEMBL1200487,CHEMBL1874,INHIBITOR
CHEMBL406,CHEMBL1876,INHIBITOR
CHEMBL878,CHEMBL1876,INHIBITOR
CHEMBL61593,CHEMBL1876,INHIBITOR
CHEMBL1201039,CHEMBL1876,INHIBITOR
CHEMBL842,CHEMBL1876,INHIBITOR
CHEMBL1200616,CHEMBL1876,INHIBITOR
CHEMBL1532,CHEMBL1876,INHIBITOR
CHEMBL1577,CHEMBL1876,INHIBITOR
CHEMBL435,CHEMBL1876,INHIBITOR
CHEMBL1684,CHEMBL1876,INHIBITOR
CHEMBL1763,CHEMBL1876,INHIBITOR
CHEMBL1054,CHEMBL1876,INHIBITOR
CHEMBL1055,CHEMBL1876,INHIBITOR
CHEMBL1587,CHEMBL1876,INHIBITOR
CHEMBL3140361,CHEMBL1877,INHIBITOR
CHEMBL1200776,CHEMBL1878,POSITIVE ALLOSTERIC MODULATOR
CHEMBL495,CHEMBL1881,AGONIST
CHEMBL1770,CHEMBL1884,AGONIST
CHEMBL181,CHEMBL1886,OPENER
CHEMBL1201528,CHEMBL1889,AGONIST
CHEMBL1201108,CHEMBL1889,ANTAGONIST
CHEMBL2311030,CHEMBL1898,AGONIST
CHEMBL1185,CHEMBL1898,AGONIST
CHEMBL1201003,CHEMBL1898,AGONIST
CHEMBL2138684,CHEMBL1898,AGONIST
CHEMBL1200521,CHEMBL1898,AGONIST
CHEMBL1200601,CHEMBL1898,AGONIST
CHEMBL1201032,CHEMBL1898,AGONIST
CHEMBL128,CHEMBL1898,AGONIST
CHEMBL1201150,CHEMBL1898,AGONIST
CHEMBL2368924,CHEMBL1899,ANTAGONIST
CHEMBL46,CHEMBL1899,ANTAGONIST
CHEMBL1237080,CHEMBL1899,ANTAGONIST
CHEMBL289469,CHEMBL1899,ANTAGONIST
CHEMBL1720,CHEMBL1899,ANTAGONIST
CHEMBL3186492,CHEMBL1899,ANTAGONIST
CHEMBL1200885,CHEMBL1899,ANTAGONIST
CHEMBL1200940,CHEMBL1899,ANTAGONIST
CHEMBL1200755,CHEMBL1901,AGONIST
CHEMBL1201182,CHEMBL1902,INHIBITOR
CHEMBL413,CHEMBL1902,INHIBITOR
CHEMBL1908360,CHEMBL1902,INHIBITOR
CHEMBL1200686,CHEMBL1902,INHIBITOR
CHEMBL3989887,CHEMBL1902,INHIBITOR
CHEMBL1946170,CHEMBL1906,INHIBITOR
CHEMBL1200485,CHEMBL1906,INHIBITOR
CHEMBL1580,CHEMBL1910,INHIBITOR
CHEMBL2105613,CHEMBL1911,INHIBITOR
CHEMBL433,CHEMBL1911,INHIBITOR
