"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0014009","glial cell proliferation","3/10","61/18986",0.0491803278688525,93.3737704918033,16.5881750324199,3.72658044963014e-06,0.000160885473204722,4.89663202455939e-05,"NF1/TP53/KRAS",3
"GO:0000082","G1/S transition of mitotic cell cycle","4/10","256/18986",0.015625,29.665625,10.6002345281226,6.36154437882426e-06,0.000265488452076266,8.08027742152415e-05,"PTEN/ARID1A/TP53/SMARCA4",4
"GO:0050870","positive regulation of T cell activation","4/10","260/18986",0.0153846153846154,29.2092307692308,10.5137676002411,6.76411606929823e-06,0.000273183010282625,8.31446525326303e-05,"ARID1A/EP300/PIK3CA/SMARCA4",4
"GO:0006289","nucleotide-excision repair","3/10","83/18986",0.036144578313253,68.6240963855422,14.1735329896679,9.45599648891372e-06,0.000363811192301752,0.0001107278052911,"ARID1A/TP53/SMARCA4",3
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","4/10","284/18986",0.0140845070422535,26.7408450704225,10.0332332621206,9.58927264054139e-06,0.000363811192301752,0.0001107278052911,"ARID1A/EP300/PIK3CA/SMARCA4",4
"GO:0044843","cell cycle G1/S phase transition","4/10","287/18986",0.0139372822299652,26.4613240418118,9.97736147029185,9.99548765709296e-06,0.000368069133725894,0.000112023731636769,"PTEN/ARID1A/TP53/SMARCA4",4
"GO:0008306","associative learning","3/10","90/18986",0.0333333333333333,63.2866666666667,13.5967267356918,1.20671022011993e-05,0.000431657484454328,0.000131377172837117,"NF1/KRAS/BRAF",3
"GO:0010507","negative regulation of autophagy","3/10","96/18986",0.03125,59.33125,13.1529716982293,1.46517065047489e-05,0.000509553792887378,0.000155085314465471,"TP53/EP300/PIK3CA",3
"GO:0007406","negative regulation of neuroblast proliferation","2/10","12/18986",0.166666666666667,316.433333333333,25.0912169275441,1.64331973911799e-05,0.000556063868479927,0.000169240894896362,"NF1/TP53",2
"GO:0022409","positive regulation of cell-cell adhesion","4/10","336/18986",0.0119047619047619,22.602380952381,9.17138249087984,1.86007465859889e-05,0.000594433575953638,0.000180918912472858,"ARID1A/EP300/PIK3CA/SMARCA4",4
"GO:0051251","positive regulation of lymphocyte activation","4/10","336/18986",0.0119047619047619,22.602380952381,9.17138249087984,1.86007465859889e-05,0.000594433575953638,0.000180918912472858,"ARID1A/EP300/PIK3CA/SMARCA4",4
"GO:0048853","forebrain morphogenesis","2/10","13/18986",0.153846153846154,292.092307692308,24.1011278622748,1.9415595106987e-05,0.000594433575953638,0.000180918912472858,"PTEN/NF1",2
"GO:0071214","cellular response to abiotic stimulus","4/10","342/18986",0.0116959064327485,22.2058479532164,9.08452268988366,1.99410624521188e-05,0.000594433575953638,0.000180918912472858,"PTEN/TP53/EP300/PIK3CA",4
"GO:0104004","cellular response to environmental stimulus","4/10","342/18986",0.0116959064327485,22.2058479532164,9.08452268988366,1.99410624521188e-05,0.000594433575953638,0.000180918912472858,"PTEN/TP53/EP300/PIK3CA",4
"GO:0042063","gliogenesis","4/10","355/18986",0.0112676056338028,21.392676056338,8.90375659225321,2.3088401072424e-05,0.000662101037153315,0.000201513851899697,"PTEN/NF1/TP53/KRAS",4
